ITEM,NOMBRE
CAF1205121,SERV MAQ Y EQUIPO EN MONTAJESIN IVA RT4%
CAF120512,SERV MAQ Y EQUIPO EN MONTAJE 19% RT4%
CAF120511,COMP MAQ Y EQUIPO EN MONTAJE 19% RT2.5%
CAF081513,HONOR VIAS DE COMUN EN CURSO 19% RT11%
CAF081512,SERV VIAS DE COMUN EN CURSO 19% RT4%
CAF081013,HONOR ACUE PLANT Y RED CURSO 19% RT11%
CAF081012,SERV ACUE PLANT Y RED CURSO 19% RT4%
CAF080513,HONOR CONST EDIFIC CURSO 19% RT11%
CAF0805122,SERV CONST Y EDIFIC CURSO A REAL P19%RT4
CAF0805121,SERV CONST Y EDIFIC CURSO SIN IVA RT2%
CAF080512,SERV CONST Y EDIFIC CURSO 19% RT4%
211000,IVERMECTINA
1362,VIT B9 ACIDO FOLICO 80%
211002,ALCANFOR
211003,CIPERMETRINA
211004,CLOTRIMAZOL
211005,DEXAMETAZONA SODIO FOSFATO
211006,D PANTENOL
211007,ERITROMICINA BASE
211008,ERITROMICINA ESTEARATO
211009,ESTREPTOMICINA SULFATO
211010,GUAYACOL
211011,TRICLOSAN (IRGASAN DP 300)
1745,LINCOMICINA HCL98%
211013,MENTOL CRISTALES
211014,NEOMICINA SULFATO
1346,VIT B3 NIACINAMIDE 98%
211016,OXITETRACICLINA BASE
501778,DC VIT B5 (PANTOTENATO DE CALCIO)
211018,PRAZIQUANTEL
211019,SALICILATO DE METILO
211020,SULFADIAZINA SODICA
211021,SULFAGUANIDINA MONOHIDRATO
1403,SULFATO DE MAGNESIO 7H2O Mg 9.86%
211025,TRIMETOPRIM MICRONIZADO
211026,VITAMINA B1 (TIAMINA HCL)
211027,RIBOFLAVINA 5 FOSFATO SODICO (VITAMINA B
1356,VIT B6 PIRIDOXINA HCL 99%
211029,VITAMINA A PALMITATO
211030,VITAMINA A ACETATO POLVO 500 klU/g
1368,VIT B12 CIANOCOBALA 1%
211032,VITAMINA D3 POLVO 500 klU/g
211033,VITAMINA E POLVO AL 50%
211034,VITAMINA K3 POLVO (MENADIONA SODIO BISUL
211035,SULFAQUINOXALINA SODICA
211036,COLISTINA SULFATO
211037,TREMENTINA
501775,DC VIT C (ACIDO ASCORBICO) 97%
1716,SULFAMETAZINA98%
1408,SULFATO DE COBRE 5H20 Cu25%
584,L-LYSINE HCL 98 LISINA 78%
605,L-ISOLEUCINE ISOLEUCINA 98%
211043,L LEUCINA
211044,L HISTIDINA
603,L-TRYPTOPHAN TRIPTOFANO 98%
607,L-VALINE VALINA 98%
601,L-THREONINE TREONINA 98%
211048,L FENILALANINA
596,L METIONINA 99%
1434,CLORURO DE CALCIO CaCl2 94%
211051,DEXTROSA
2135,GLUTAMATO MONOSODICO
1380,VIT H BIOTIN 98%
1830,QFOS 25 AURO FOSFOMICINA CALCICA 25%
211055,MELOXICAN
211056,CEFTIOFUR SODICO
211057,DIACETURATO DE DIMINAZENE
211058,ANTIPIRINA (MICRONIZADA)
211059,PENICILINA 6 POTASICA
211060,PENICILINA G PROCAINICA
1752,CIPROFLOXACINA HCL AURO CIPROFL98%
211062,SULFATO DE CONDROITINA
2484,SULFATO DE GLUCOSAMINA 98%
211064,METIL SULFONIL METANO
211065,ACIDO SALICILICO
211066,VITAMINA E LIQUIDA OLEAOSA X KG
91736,DOXICICLINA 50%
1750,AMOXAVET 50 GVM AMOXICILINA50%
211069,AMOXICILINA TRIHIDRATO POLVO
1682,TM-700 PHIBRO OXITETRACICLINA77.8%
211071,TILVALOSINA TARTRATO
211072,EXTRACTO DE CALENDULA
211073,EXTRACTO DE ALOE VERA
211074,DORAMECTINA
211075,FEBANTEL
211076,GLUCONATO DE CLORHEXIDINA SOLUCION AL20%
211077,NITRATO DE MICONAZOL
211078,ESTANDAR PRIMARIO
211079,LIDOCAINA HCL
211080,GENTAMICINA
211081,GLUCOSAMINA CLORHIDRATO POLVO
211082,FENOGRECO SEMILLAS EN POLVO
211083,HARPAGOFITO RAIZ POLVO
211084,ASHWAGANDHA RAIZ POLVO
211085,REGALIZ RAZ POLVO
211086,BOSWELLIA RESINA POLVO
211087,ACEITE ESENCIAL DE LAVANDA
211088,GLUTARALDEHIDO 50%
211089,CLORURO DE COLINA LIQUIDO
211090,YODO METALICO
212000,ALBENDAZOL
1724,HALQUINOL 99%
212002,PAMOATO DE PIRANTEL
212003,PIPERAZINA FOSFATO
212004,RAFOXANIDE
212005,TIABENDAZOL
212006,AMPROLIO HCL
1890,FENBENDAZOLE 99%
212008,BOLDENONA UNDECILINATO
1684,ECOMAX AURO CLORTETRACI20%
2013,RACTOPAMINA 99%
1692,TIAMULINA FUMARATO HIDROGENADO98%
212012,NICARBAZINA 100%
1751,ESPECTINOMICINA SULFATO
212014,HIERRO DEXTRAN ESTERIL 20% USP
212015,DOXICICLINA HICLATO
2235,DRESQUIN 66 DRESEN ANTIOXIDANTE
212017,TOLTRAZURIL
212019,TILOSINA TARTRATO
1701,TILMICOSINA75%
1720,TILOSINA FOSFATO90%
1730,FLORFENICOL98%
212023,NORFLOXACINA BASE
221000,ALCOHOL BENCILICO
221001,GLICEROL FORMAL
221002,PROPILENGLICOL
483,ACEITE DE SOYA (IVA19%)
221004,ACIDO ACETICO
221005,ACIDO CITRICO ANHIDRO
221006,ACIDO FOSFORICO
221007,ACIDO LACTICO
501750,DC DIOXIDO DE SILICIO
221009,ALCOHOL ESTEARILICO
221010,AZUCAR PULVERIZADA
221011,AZUCAR REFINADA
221012,BENZOATO DE SODIO
221013,CAOLIN COLOIDAL
221014,CARBOMERO 940 (CARBOPOL)
221015,CARBOXIMETILCELULOSA SODICA
221016,CLORURO DE MAGNESIO HEXAHIDRATADO
221017,CLORURO DE POTASIO
221018,CLORURO DE SODIO
221019,COLOR AMARILLO No 5
221020,COLOR ROJO FRESA
221021,GOMA XANTAN
221022,ESENCIA MANZANA
221023,GLICERINA
221024,PERFUME HERBAL
221025,HIDROXIDO DE POTASIO
221026,LECITINA DE SOYA
221027,POLOXAMERO F 127 (LUTROL)
221028,MALTODEXTRINA
221029,METILPARABENO SODICO
221030,MONOETANOLAMINA
221031,PECTINA CITRICA RAPIDA
221032,N METIL 2 PIRROLIDONA (PHARMASOLVE)
221033,POLIVINILPIRROLIDONA K 30
221034,POLIVINILPIRROLIDONA K 17
501752,DC PROPILPARABENO SODICO
221036,PROPILPARABENO PURO
501769,DC PROPIONATO DE CALCIO 99%
221038,SABOR CARAMELO
221039,SABOR MENTA
221040,SABOR CHICLE LIQUIDO
221041,SABOR DURAZNO LIQUIDO
221042,SABOR VAINILLA LIQUIDO
221043,SACARINA SODICA
221044,SILICONA ANTIESPUMANTE
221045,SODIO FORMALDEHIDO SULFOXILATO
221046,SORBITOL LIQUIDO
221047,MONOESTEARATO DE SORBITAN 60 (SPAN)
221048,SULFATO DE COBALTO
221049,LAURIL ETER SULFATO SODIO 70(TEXAPON)
221050,TRIACETINA
221051,POLISORBATO 80 (TWEEN)
221052,VASELINA AMARILLA
221053,VASELINA BLANCA
221054,ALCOHOL CETILICO
221055,COLOR AZUL N1
221056,EDTA DISODICO
80,HARINA DE MAIZ
221058,HIDROXIDO DE SODIO
221059,LACTOSA BLANCA MONOHIDRATADO
221060,MIRISTATO DE ISOPROPILO
221061,POLIETILENGLICOL 400
113,HARINA DE TRIGO DE 3a
221063,FORMALDEIDO SULFOXILATO
221064,METILPARABENO PURO
2051,CAOLIN
221066,CELULOSA MICROCRISTALINA PH 101 (AVICEL)
221067,PARAFINA SOLIDA
221068,ACEITE DE GIRASOL
221069,COCOAMIDA DEA (COMPERLAND KD)
221070,2 PIRROLIDONA (SOLUPHOR)
221071,HIDROXIDO DE CALCIO
570,CLORURO DE COLINA 60% VAR IMPORT
165,CASCARILLA DE ARROZ MOLIDO
221074,NONIL FENOL 10 MOLES
221075,NONIL FENOL 20 MOLES
221076,CITRATO DE SODIO
221077,OXIDO DE MAGNESIO
528,CARBONATO DE CALCIO R-35
221079,FOSFATO MONOBASICO DE SODIO
221080,TALCO USP
221081,SOLVENTE AROMATICO 150 (SOLVESSO)
221082,CARBOMERO 934 (CARBOPOL)
221083,GALATO DE PROPILO
221084,FENIL SULFONATO DE CALCIO
2052,ACEITE MINERAL
221086,ACIDO ESTEARICO
221087,CETOMACROGOL
221088,L METIONINA GRADO ALIMENTICO
613,L-ARGININE ARGININA 98.5%
221090,L LISINA GRADO ALIMENTICO
221091,L CISTEINA GRADO ALIMENTICO
221092,L GLICINA GRADO ALIMENTICO
221093,FOSFATO DE CALCIO DIHIDRATO
221094,AMILASA
221095,PEPSINA
1391,INOSITOL
221097,YODURO DE POTASIO
1399,ZINC SULPHATE 1H2O Zn35%
221099,LEVADURA DE CERVEZA (BIOMOS)
221100,SELENITO DE SODIO
221101,L ISOLEUCINA GRADO ALIMENTICIO
221102,L TRIPTOFANO GRADO ALIMENTICIO
221103,L VALINA GRADO ALIMENTICIO
221104,SABOR VAINILLA EN POLVO
1415,SULFATO FERROSO HEPTAHIDRATADO Fe19.5%
221106,SULFATO DE MANGANESO MONOHIDRATO
1666,BIOPOWDER YUCCA SCHIDIGERA VAR PRO
611,L-TAURINE TAURINA 98%
221109,L CARNITINA
221110,L TREONINA GRADO ALIMENTICIO
221111,PROLINA
221112,L ALANINA GRADO ALIMENTICIO
221113,L TIROSINA GRADO ALIMENTICIO
221114,EXTRACTO SACCHAROMYCES CEREVISIAE (NUPRO
221115,SILICATO DE ALUMINIO (ZEOLITAS)
221116,FRUCTOLIGOSACARIDO (FOS)
221117,ACIDO HIALURONICO
221118,COLAGENO
221119,EXTRACTO COLA DE CABALLO
221120,EXTRACTO TE VERDE
221121,OMEGA 3 (DHA) EN POLVO
221122,SELENIOMETIONINA
221123,PARED CELULAR DE SCHAROMYCES CEREVISAE
221124,SABOR POLLO
221125,SABOR MELAZA
221126,ALCOHOL ETILICO
221127,AGUA ESTERIL X 5 ML
221128,CARBONATO Y SILICE AMORFO ( ANTICOMPACTA
221129,L LEUCINA GRADO ALIMENTICIO
221130,L FENILALANINA ALIMENTICIA
221131,L HISTIDINA GRADO ALIMENTICIO
221132,L ARGININA BASE GRADO ALIMENTICIO
1625,LECITINA DE SOYA POLVO EMULS
221134,COLOR VERDE MENTA
221135,CLORURO DE POTASIO ANTICOMPACTANTE
615,L-GLUTAMINA
1560,LEVUCELL SB10 SPIN PROB
221138,AROMA DE BANANO
1430,PROPIONATO DE CROMO INOVEL Cr0.4%
221140,ACEITE DE LINAZA X KKG
154,ALMIDON DE YUCA
221142,ACEITE DE ROMERO
571,BETAINA ANHIDRA 96% VAR IMPORT
1437,AZUFRE S99.95%
221145,LINAZA MOLIDA
1464,ENMASCARANTE (MALTODEXTRINA) AURO
221147,SABOR FRUTOS ROJO
221148,ACEITE DE CANOLA
221149,SABOR BANANO LIQUIDO OLEOSO
221150,SABOR BANANO POLVO
221151,LACTATO DE CALCIO
221152,EUPERLAN /PROPECG EGMS 36
221153,FRAGANCIA PURE 83214P
221154,METILSOTIAZOLINONE/ PROCIDE 1.5 PROCIDE
221155,COCOAMIDO PROPILBETAINA
221156,ALCOHOL ETOXILADO C9 C 11
221157,POLIENTILENGLICOL PEG 50/ RESPLANTE KARI
221158,DIESTEARATO PEG 50/ VISCOCHEM
221159,ACIDO SORBICO
501771,DC FORMIATO DE SODIO 95%
221161,TEXAPON 28% PROLESS 28
221162,SORBATO DE POTASIO
221163,ACEITE DE RICINO
221164,LACTASA BONLACTA
2233,BHA DRESEN ANTIOXIDANTE
221166,FUMOSIN B1 REFERENCE MATERIAL
221167,DEOXYNIVALENOLREFERENCE MATERIAL
221168,ZEARALENONEREFERENCE MATERIAL
221169,CORN SYRUP (JARABE DE MAIZ)
1950,ANTITOX INPSAS ATRAPANTE
1975,LUPROGRAIN LIQ BASF ANTIFUNGICO
221172,LACTOBACILLUS JENSENNII
221173,LACTOBACILLUS REUTERI
221174,BACILLUS SUBTILIS SUBSP. SPIZIZENII
221175,BUTYRICICOCCUS PULLICAECORUM
529,CARBONATO DE CALCIO QE2 Ca39%
1957,FREE-TOX XP NUTREX ATRAPANTE
1938,ALPHAFEED BENTOCOL ATRAPANTE
221179,RECODAN CM VEG SC
221181,EXTRACTO DE MALTA LIQUIDO
221182,TIMSENG
221183,DIMODAN HP MB
2229,TRIPOLIFOSFATO DE SODIO
221185,LECHE EN POLVO DESLACTOSADA SEMIDESCREMA
221186,SABOR MANZANA VERDE EN POLVO
221187,DATILES DESHIDRATADOS
221188,ARANDANOS DESHIDRATADOS
221189,AVENA EN HOJUELAS PRECOCIDA
221190,JARABE LIGTH DE MAIZ
221191,MANI
221192,HOJUELAS DE MAIZ
221193,SALMON
221194,MIEL DE ABEJAS
221195,HARINA DE TRIGO BLANCA
221196,CASEINATO DE SODIO
221197,GENTAMICINA SULFATO
221198,CLORURO DE BENZALCONIO
221199,FOSFATO DISODICO ANHIDRO
501795,DC PROPIONATO DE SODIO
1444,BENTONITA AURO ANTICOMPAC
221203,MANZANA VERDE DESHIDRATADA TROZOS
221204,MANZANA ROJA DESHIDRATADA TROZOS
221205,FRESA DESHIDRATADA TROZOS
221206,ZANAHORIA DESHIDRATADA TROZOS
221207,PINA DESHIDRATADA TROZOS
221208,BANANO DESHIDRATADO TROZOS
221209,ARANDANOS DESHIDRATADO TROZOS
221211,TORTA DE SOYA MOLIDA
106,MOGOLLA DE TRIGO
527,CARBONATO DE CALCIO GRUESO
181,POLVILLO DE CEBADA
221215,SABOR QUESO POLVO NAT TYPE CHEED
221216,BUTOXIDO DE PIPERONILO
221217,SABOR MANTEQUILLA POLVO
221218,GLUCURONOLACTONA POLVO GRADO ALIMENTICIO
221219,INULINA 90% POLVO GRADO ALIMENTICIO
501787,DC AJO EN POLVO
221221,ESPIRULINA POLVO GRADO ALIMENTICIO
2077,CURCUMA EN POLVO X 1kg TECNAS
221223,CORIANDRO POLVO GRADO ALIMENTICIO
221224,EQUINACEA RAZ POLVO GRADO ALIMENTICIO
501792,DC JENGIBRE EN POLVO
221226,HINOJO SEMILLA POLVO GRADO ALIMENTICIO
221227,LAUREL HOJA POLVO GRADO ALIMENTICIO
501793,DC HOJA DE MENTA EN POLVO
221229,EXTRACTO SECO MANZANILLA POLVO USP
221230,EXTRACTO CRANBERRY 10% POLVO MALLA 80 US
221231,PINA BROMELINA POLVO
221232,OREGANO HOJA GRADO ALIMENTICIO
501788,DC ALBAHACA EN POLVO
221234,EUCALIPTO HOJA GRADO ALIMENTICIO
221235,CANELA CORTEZA GRADO ALIMENTICIO
501790,DC CIDRON EN POLVO
501794,DC LIPPIA EN POLVO
501791,DC CLAVO EN POLVO
221240,CARNE DE GALLINA EN POLVO
501770,DC DIACETATO DE SODIO
221242,AGUA ESTERIL X 10 ML
221243,HIDROLIZADO DE HIGADO LQUIDO
221244,PANELA EN POLVO
221245,MELAZA LIQUIDA
581885,DC FOSFATO DE HIDRO DIPOTASICO (K2HPO4)
221247,ANATO ACHIOTE (SEMILLA POLVO)
152,HARINA DE YUCA
221249,HARINA DE AVENA
221250,PROTEINA DE SOYA
221251,LINAZA SEMILLA
221252,HARINA DE CARNE
221253,HARINA DE HUEVO
221254,MIGLYOL 812 N LIQUIDO
221255,CLORURO DE BENZALCONIO POLVO AL 50 %
221256,CORCHO EN POLVO
221257,CORCHO GRANULADO VIRGEN
221258,PROTEINA VEGETAL HIDROLIZADA LIQUIDA
221259,OMEGA 369 POLVO
221260,SURFACTANTE NATURAL
221261,ACTIVADOR PROTEICO
221262,POLIACRILATO DE SODIO
221263,QUITINA
221264,BUTIRATO DE SODIO
221265,FORMIATO DE CALCIO
221266,EXTRACTO DE GRANADA
557,BICARBONATO DE SODIO 99% Na27%
221268,COLOR VERDE LIMN
221269,LUTEINA 5% EN POLVO
221270,ACIDO LAURICO
221271,FOSFATO DIAMONICO
221272,ACEITE DE HIGADO DE BACALAO
2234,BHT FEED GRADE DRESEN ANTIOXIDANTE
222001,EXTRACTO DE SILIMARINA 80%
222002,EXTRACTO DE CYNARA 5%
222003,MYCO AD
1935,MYCO AD A-Z AMERIVET ATRAPANTE
1808,BACILLUS LICHENIFORMIS 200 B CFU/GR PROB
1809,BACILLUS SUBTILIS 200 B CFU/GR PROB
2041,EXTRACTO CURCUMA(TURMERIC) AC ESENCIALES
2026,EXTRACTO DE OREGANO AC ESENCIALES
2027,EXTRAC DE CANELA (CINNAMMON) AC ESENCIAL
2025,EXTRAC DE PIMIENTA (PEPPER) AC ESENCIAL
311000,TAPA NEGRA ENV INY X 200 500
311001,TAPA NEGRA ENVASE INY 15 50
311002,AGRAFE METALICO X 20MM
311003,AGRAFE METALICO X 30MM
311004,BOLSA BLANCA PREMEZCLA
311005,SOBRE PLATEADO X 100 GR DOY PACK
311006,SOBRE PLATEADO X 250 GR DOY PACK
311007,SOBRE PLATEADO X 1 KG DOY PACK
311008,BOLSA NEGRA 51 X 70cm VITAMINAS PX
311009,TUBO COLAPSIBLE QTYCON X 30 GR
311010,FRASCO VIDRIO AMBAR INY X 10 ML TIPO 2
311011,FRASCO VIDRIO AMBAR INY X 100 ML TIPO 2
311012,FRASCO VIDRIO AMBAR INY X 250 ML TIPO 2
311013,FRASCO VIDRIO AMBAR INY X 500 ML TIPO 2
311014,FRASCO BLANCO HC X 120
311015,FRASCO BLANCO PEAD X 60 ML
311016,FRASCO GOTERO BLANCO X 10 ML
311017,FRASCO GOTERO BLANCO X 20 ML
311018,FRASCO PEAD BLANCO VT X 1000 ML
311019,FRASCO PET AMBAR X 120 ML
311020,FRASCO TAPA ROSCA X 120 RF 2374
311021,FRASCO TAPA ROSCA X 250 RF 1251
311022,FRASCO TAPA ROSCA X 500 ML
311023,GARRAFA AMARILLA X 20 L
311024,GARRAFA BLANCA CUADRADA X 500
311025,GARRAFA BLANCA CUADRADA X 1000 ML
311026,GARRAFA BLANCA CUADRADA 2000 ML
311027,GARRAFA BLANCA RECTANG X 4 L
311028,GARRAFA CAFE 1000 ML
311029,GARRAFA CAFE X 3750 ML
311030,GARRAFA CAFE CREO TAY 1000 ML
311031,GARRAFA CAFE VANOVET 1000 ML
311032,JERINGA AUROTEL X 10 ML
311033,JERINGA AUROTEL 2.5 ML
311034,JERINGA AUROTEL X 5 ML
311035,JERINGA CABACTINA ORAL X 10 G
311036,JERINGA CABATEL X 20 ML
311037,JERINGA PERRITEL X 2.5 ml
311038,JERINGA PERRITEL X 5.0 ml
311039,JERINGA RAFOXANIDE X 30 ML
311040,SOBRE AURODIARREGAN X 20 G
311041,SOBRE AUROVITEL X 20 G
311042,SOBRE AVICUR X 20 G
311043,SOBRE ERIPANTO X 24 GR
311044,SOBRE PORCIX X 20 G
311045,SOBRE SULFACOCCIDIOL X 25 G
311046,TALQUERA CILINDRICA BLANCA X 100 GR
311047,TAPA BLANCA X 28
311048,TAPA ROSCA SEGURIDAD X 28 mm ROJA
311049,TAPA FRASCO AUROCHAMPU X 250
311050,TAPA ROSCA SEGURIDAD X 38 mm ROJA
311051,TAPA TALQUERA BLANCA X 100 G
311052,TAPA X 38 mm V
311053,TAPON X 30 mm REF. T30 CBRB 95
311054,TARRO BLANCO X 500 GR AUROUNGUENTO
311055,TAPA AZUL ENCAPSULADO X 20 ML
311056,FRASCO AMBAR X 50 ML
311057,EMPAQUE BLANCO LAMINADO 60X92
311058,EMPAQUE BLANCO 55X80 LAMINADO
311059,FRASCO INYECTABLE PEAD X 50 ML
311060,TAPON GRIS X 20MM
311061,SOBRE COCCIDIOL X 25 GR
311062,SOBRE DORADO X 12.5 KGS DOY PACK
311063,FRASCO INYECTABLE PEAD X 500 ML
311064,FRASCO INYECTABLE PEAD X 250 ML
311065,VENOCLISIS
311066,FRASCO PET AMBAR X 30 ML
311067,JERINGA QALBENDACO 30 X 20 ML
311068,LINNER 30MM PEBD
311069,TAPON PARA GARRAFA X 20 L
311070,TAPON X 28 CONCAVO SIN ORIFICIO
311071,TAPA ROJA 86 MM AUROUNGUENTO
311072,TAPA BLANCA 53 MM
311073,TAPA ROSCA DE SEG 60 mm ROJA
311074,FRASCO VIDRIO AMBAR INY X 50 ML TIPO 2
311075,POTE X 120 GR HP CUELLO 53
311076,GARRAFA X 20 L SERIGRAFIADA CREO TAY X 2
311077,GARRAFA X 20 L SERIGRAFIADA VANOVET X 18
311078,SOBRE SERIGRAFIADO BRILLAPEL X 150G
311079,SOBRE SERIGRAFIADO BRILLAPEL X 1KG
311080,CUCHARA DOSIFICADORA X 20 G NARANJA
311081,AGUJA DESECHABLE 16 X 1 1/2
311082,JERINGA AUROPUPPY X 2.5 ML
311083,JERINGA AUROPUPPY X 5 ML
311084,ENVASE OVAL BASE X 120 ML PEAD BLANCO
311085,SOBRETAPA SNAP OVALADA X 24 MM
311086,EMPAQUE BLANCO LAMINADO+LINNER 50X70
311087,EMPAQUE BLANCO LAMINADO+LINNER 55X80
311088,BOLSA SNACKS X 100 G
311089,TARRO 4 KG NATURAL
311090,TAPA 126 MM PP BLANCO
311091,FCO COEX 500 ML
311092,ENVASE RECT BLANCO X 250 ML
311093,SOBRE AUROVITEL X 1 KG
311094,FCO COEX X 1000 ML
311095,GARRAFA CAFE VANOVET X 3750 ML
311096,GARRAFA CAFE CREO TAY X 3800 ML
311097,SOBRE Q FOS X 1 KG
311098,ENVASE GRIS BOCA ANCHA X 3800CC
311099,TAPA ROSCA 128MM
311100,TARRO X 2KG CON TAPA
311101,ENVASE NT 500 HR P 33 G
311102,TAPA CONVEXA 63 MM
311103,ENVASE 500ML RD PEAD BLANC+TAP 38 BLANCA
311104,TULA SELLADA AUROFARMA SALUD Y BELLEZA
311105,ENVASE 2 BOCAS NATURAL PEAD+2 TAPAS ANIL
311106,SOBRE BRIO ENERGY X 30 ML
311107,SOBRE AURODIARREGAN NF X 10 G
311108,JERINGA CABATEL NF X 20 ML
311109,SOBRE PLATEADO X 5 KG FLOW PACK
311110,SOBRE PLATEADO X 10 KG FLOW PACK
311111,FRASCO PEAD TIPO BALA X 120 ML
311112,FRASCO PEAD TIPO BALA X 250 ML
311113,FRASCO PEAD TIPO BALA X 1000 ML
311114,TAPA DISC TOP 24/410
311115,TAPA DISC TOP 24/415
311116,TAPA DISC TOP 28/415
311117,GARRAFA SERIGRAFIADA GHL X 20 L
311118,GARRAFA SERIGRAFIADA GHL 20 X 3800 ML
311119,EMPAQUE IMPRESO BLANCO 55X81 CON LINNER
311120,EMPAQUE IMPRESO BLANCO 60X86 CON LINNER
311121,TAPA 13 MM PARA GOTERO
311122,TAPON 13 MM PARA GOTERO
311123,SOBRE AURODIARREGAN NF X 20 G
311124,LINER DE PRESION CALIBRE 61.5MM
311125,LINER DE PRESION CALIBRE 84MM
311127,CUCHARA CRISTAL 7 CM
311128,TAPA ROSCA SEG 60MM ROJA + LINNER ESPUMA
311129,LINNER ALUMINIO MICROPE 125.7 MM
311130,TAPA ROSCA 88MM BLANCA
311131,ENVASE NUTRICIONAL BLANCO X 1000CC
311133,LINNER ALUMINIO MICROPE 84 MM
311134,SOBRE AUROVITEL X 10 G
311135,AGRAFE METALICO X 32MM
311136,TAPON X 32 mm
311137,ENVASE LACTEO PEAD BLANCO X 90 ML
311138,TAPA ROSCA X 28 MM PEAD
311140,SOBRE PLATEADO VITA MIRABILIS X 1 KG
311141,SOBRE PLATEADO VITA MIRABILIS X 5 KG
311142,SACO VITA MIRABILIS X 10 KG
311143,SACO VITA MIRABILIS X 25 KG
311144,ROLLO LAMINADO BARRA POWERQUIN X 100 G
311145,BOTELLA CEBO FLY NO MORE
311146,TAPA DE BOTELLA CEBO FLY NO MORE
311147,ROLLO TRILAMINADO PORCIX X 20 G
311148,BALDE FLY NO MORE
311149,CONOS FLY NO MORE
311163,FCO COEX X 1000 ML COM TAPA Y FOIL INDUC
321000,PLEGADIZA AUROFARVIT INY X 500ML
321001,PLEGADIZA ANAPIRAN X 250 ML
321002,PLEGADIZA ANAPIRAN X 50 ML
321003,PLEGADIZA DIS AURODIARREGAN 10 SB X 20 G
321004,PLEGADIZA AURODIARREGAN 50SB X 20 GR
321005,PLEGADIZA AUROFARVIT INY X 50ML
321006,PLEGADIZA AUROFARVIT INY X 12 FCOS
321007,PLEGADIZA AUROFARVIT INY 100ML
321008,PLEGADIZA AUROFARVIT INY X 250ML
321009,PLEGADIZA AUROMECK X 15 ML
321010,PLEGADIZA QIVERMEC 3.5 X 500 ML
321011,PLEGADIZA AUROMECK X 200ML
321012,PLEGADIZA AUROMECK X 50ML
321013,PLEGADIZA AUROMECK X 500ML
321014,PLEGADIZA DIS AUROVITEL X 45 SB X 20GR
321015,PLEGADIZA DIS AVICUR X 50 SB X 20 MG
321016,PLEGADIZA BOLDEBIG X 250ML
321017,PLEGADIZA BOLDEBIG X 50ML
321018,PLEGADIZA BOLDEBIG X 500ML
321019,PLEGADIZA CIPERMETRINA 12 FCOS X 20 ML
321020,PLEGADIZA DIS COCCIDIOL X 40SB X 25 GR
321021,PLEGADIZA ERIPANTO INY X 50ML
321022,PLEGADIZA ERIPANTO MASTITIS X 4 JERINGAS
321023,PLEGADIZA DIS ERIPANTO X 40 SOBRES X 24G
321024,CAJA CORRUGADA NO. 1
321025,CAJA CORRUGADA NO. 3
321026,CAJA CORRUGADA NO. 4
321027,CAJA CORRUGADA NO. 15
321028,PLEGADIZA PORCIX 50SB X 20 G
321029,PLEGADIZA QB COMPLEX INY X 500ML
321030,PLEGADIZA QNORFLOXAN 12GOT X 20ML
321031,PLEGADIZA QOXY 200 X 250ML
321032,PLEGADIZA QOXY 200 X 50ML
321033,PLEGADIZA QOXY 200 X 500 ML
321034,PLEGADIZA DIS SULFACOCCIDIOL 40S X 25 GR
321035,PLEGADIZA SULFATROPHIN ORAL 12 GOTEROS
321036,PLEGADIZA SULFATROPHIN INY X 10ML
321037,PLEGADIZA SULFATROPHIN INY X 100ML
321038,PLEGADIZA SULFATROPHIN INY X 50ML
321039,BOLSA NEGRA 55X80
321040,PLEGADIZA AUROTEL JERINGA X 10ML
321041,PLEGADIZA AUROTEL JERINGA X 2.5 ML
321042,PLEGADIZA AUROTEL JERINGA X 5 ML
321043,PLEGADIZA CABACTINA ORAL JERINGA X 10 ML
321044,PLEGADIZA CABATEL JERINGA X 20ML
321045,PLEGADIZA PERRITEL JERINGA X 2.5 ML
321046,PLEGADIZA PERRITEL JERINGA X 5 ML
321047,PLEGADIZA QTYCON X 30G
321048,PLEGADIZA RAFOXANIDE JERINGA X 30 ML
321049,PLEGADIZA QOXY 200 X 100ML
321050,PLEGADIZA QIVERMEC 3.5 X 250 ML
321051,PLEGADIZA QIVERMEC 3.5 X 50 ML
321052,NIDO PLEGADIZA ERIPANTO MASTITIS X 4
321053,PLEGADIZA MELOXIDOL X 10 ML
321054,PLEGADIZA MELOXIDOL X 50 ML
321055,PLEGADIZA MELOXIDOL X 100 ML
321056,PLEGADIZA AUROCEF X 1 G
321057,PLEGADIZA AUROCEF X 4 G
321058,PLEGADIZA PENIDEXINA 4 MILLONES
321059,PLEGADIZA PENIDIXINA 8 MILLONES
321060,CINTA AUROFARMA
321061,PLEGADIZA AUROPPUPY X 2.5 ML
321062,PLEGADIZA AUROPUPPY X 5 ML
321063,PLEGADIZA ERIPANTO INY X 100 ML
321064,PARTICION CAJA 15X500 CC X 24
321065,PARTICION CAJA 4X40 UND
321066,PLEGADIZA BRILLAPEL EMULSION X 130 ML
321067,PLEGADIZA BRILLAPEL EMULSION X 270 ML
321068,PLEGADIZA BRILLAPEL EMULSION X 550ML
321069,PLEGADIZA KIT DEL POLLITO
321070,PLEGADIZA DIS BRIO PERFORMANCE X 5 SB X
321071,PLEGADIZA DISP AURODIARREGAN NF DE 10 SB
321072,PLEGADIZA DISP AURODIARREGAN NF DE 50 SB
