ITEM,NOMBRE
CSIM101,OTROS COSTOS AGENCIA IMP GRAV IVA 19%
CSIM100,PREINSPECCI…N IMP GRAVADA IVA 19%
CSIM099,GASTOS FIJOS AGENCIA IMP GRAV IVA 19%
CSIM097,ELABORACION DE REGISTRO DE IMP GRAV 19%
CSIM096,ELABORACION DECLAR DE VALOR IMP GRAV 19%
CSIM095,ELABORACION DECLAR DE IMP GRAV IVA 19
CSIM094,COMISION AGENTE ADUANA IMP GRAV IVA 19%
CSIM093,OTROS COSTOS ALMACENAD IMP GRAVADA IVA19
CSIM092,FORMULAR INGR Y SALIDA ZF IMP GRAV IVA19
CSIM091,PESAJE EN DEPOSITO IMP GRAV IVA 19%
CSIM090,CARGUE AL CAMION ALMACEN IMP GRAV IVA 19
CSIM089,DESCARGUE DE CONTENEDOR IMP GRAV IVA19%
CSIM088,TRASL  Y DEV DE CONTEN IMP GRAV SIN IVA
CSIM087,MTO INSP ICA O INVIMA IMP GRAV SIN IVA
CSIM086,CARGUE AL CAMION PTO IMP GRAVADA SIN IVA
CSIM085,PESAJE O DESPACHO IMP GRAVADA IVA 19%
CSIM084,MOVILIZACION CONTENEDOR IMP GRAV SIN IVA
CSIM083,USO DE INSTALACIONES IMP GRAVADA SIN IVA
CSIM082,CERTIFICACION DE FLETE IMP GRAVADA IVA19
CSIM081,DOCUMENT B/L IMP GRAVADA BASE SIN IVA
CSIM080,DOCUMENT B/L IMP GRAVADA BASE IVA19%
CSIM079,RADICACION DE B/L IMP GRAVADA IVA 19%
CSIM078,EMISION DE B/L IMP GRAVADA IVA 19%
CSIM077,COMODATO IMP GRAVADA BASE SIN IVA
CSIM076,COMODATO IMP GRAVADA BASE IVA 19%
CSIM075,CTA MANEJO POR CONT IMP GRAV BASE SIN IV
CSIM074,CTA MANEJO POR CONT IMP GRAV BASE IVA 19
CSIM073,VBO REGISTRO DE IMPORTAC IMP GRAV SIN IV
CSIM072,REGISTRO DE IMPORTACION IMP GRAV SIN IVA
CSIM071,TRAMITE INSPECCION ICA IMP GRAV SIN IVA
CSIM070,SOLICITUD ZOO/FITOSANIT IMP GRAV SIN IVA
CSIM062,SERV FLETE NNAL PARA IMP GRAVADAS
CSIM041,SERV FLETE NNAL PARA IMP EXCLUIDO
CSIM038,ARANCEL P/IMP EXCLUIDAS
CSIM013,ARANCEL P/IMP GRAVADA
CS9595241,COMP MATER DE LABORATORIO SIN IVA RT2.5%
CS959524,COMP MATER DE LABORATORIO 19% RT2.5%
CS9595233,SERV SEGURIDAD INDUSTRIAL 5% RT4%
CS9595232,SERV SEGURIDAD INDUSTRIAL SIN IVA RT2%
CS9595231,SERV SEGURIDAD INDUSTRIAL SIN IVA RT4%
CS959523,SERV SEGURIDAD INDUSTRIAL 19% RT4%
CS959522,HONOR SEGURIDAD INDUSTRIAL 19% RT11%
CS9595212,COMP SEGURIDAD INDUSTRIAL 5% RT2.5%
CS9595211,COMP SEGURIDAD INDUSTRIAL SIN IVA RT2.5%
CS959521,COMP SEGURIDAD INDUSTRIAL 19% RT2.5%
CS959517,COMP DESINFECTANTES 19% RT2.5%
CS9595062,COSTO NO DEDUCIBLE FACT NC TOTAL SIN IVA
CS9595061,COSTO NO DEDUCIBLE FACT NC TOTAL IVA 5%
CS959506,COSTO NO DEDUCIBLE FACT NC TOTAL IVA 19%
CS959501,PEAJES SIN IVA RT0%
CS9565011,SERV PARQUEADEROS SIN IVA RT4%
CS956501,SERV PARQUEADEROS 19% RT4%
CS9560042,SERV MESERO 19% RT4%
CS9560011,SERV CASINO Y RESTAURANTE 19% RT3.5%
CS956001,SERV CASINO Y REST SIN IVA RT3.5% ICO8%
CS954501,SERV TAXIS Y BUSES SIN IVA RT3.5%
CS954001,COMP ENVASES Y EMPAQUES 19% RT2.5%
CS9535011,COMP COMBUST Y LUBRICANTE 19% RT 2.5%
CS953501,COMP COMBUST Y LUBRICANTE SIN IVA RT0.1%
CS9530011,"COMP UTILES, PAPEL Y FOTO SIN IVA RT2.5%"
CS953001,"COMP UTILES, PAPEL Y FOTO 19% RT2.5%"
CS9525014,SERV ELEM ASEO CAFETERIA SIN IVA RT4%
CS9525013,SERV ELEM ASEO CAFETERIA 19% RT4%
CS9525012,COMP ELEM  ASEO CAFETERIA SIN IVA RT2.5%
CS9525011,COMP ELEM ASEO CAFETERIA 5% RT2.5%
CS952501,COMP ELEMASEO CAFETERIA 19% RT2.5%
CS952001,MULTAS SIN IVA RT0%
CS9510011,"HONOR LIBRO,SUSCRIP,PERIOD,REV 19% RT11%"
CS951001,"LIBRO,SUSCRIP,PERIOD,REVIST SIN IVA RT0%"
CS9505021,COMISIONES REGISTRO EN BOLSA 5% RT11%
CS950502,COMISIONES 19% RT11%
CS950501,COMISIONES 5% RT11%
CS552001,COMP PASAJES TERRESTRES SIN IVA RT0%
CS551501TA,TASA AEROPORTUARIA SIN IVA RT0%
CS551501OI,OTROS IMPUESTOS SIN IVA RT0%
CS5515012,PASAJES AEREOS SIN IVA RT0%
CS5515011,COMISI…N PASAJE AEREO 19% RT11%
CS551501,COMP PASAJE AEREO 19% RT0%
CS5505015,SERV ALOJAM Y MANUT SIN IVA RT3.5% ICO8%
CS5505014,COMISI…N ALOJAM Y MANUT 19% RT11%
CS5505013,SERV ALOJAM Y MANUT 5% RT3.5%
CS5505012,SERV ALOJAM Y MANUT SIN IVA RT0%
CS550501,SERV ALOJAM Y MANUT 19% RT3.5%
CS539595,COSTOS Y GASTOS NO DEDUCIBLE
CS5015031,SERV REPARACIONES LOCATIVAS SIN IVA RT4%
CS501503,SERV REPARACIONES LOCATIVAS 19% RT4%
CS501502,HONOR REPARACIONES LOCATIVAS 19% RT11%
CS5015011,COMP REPARACIONES LOCATIVAS 5% RT2.5%
CS501501,COMP REPARACIONES LOCATIVAS 19% RT2.5%
CS501003,SERV ARREGLOS ORNAMENTALES 19% RT4%
CS5010012,COMP ARREGLOS ORNAMENTALES 5% RT2.5%
CS5010011,COMP ARREGLOS ORNAMENTALE SIN IVA RT2.5%
CS501001,COMP ARREGLOS ORNAMENTALES 19% RT2.5%
CS5005031,SERV INSTALACION ELECTRICAS SIN IVA RT4%
CS500503,SERV INSTALACIONES ELECTRICAS 19% RT4%
CS500501,COMP INSTALACIONES ELECTRICAS 19% RT2.5%
CS4540031,SERV MTO REP F Y E TRANSP SIN IVA RT4%
CS454003,SERV MTO Y REP F Y E TRANSP 19% RT4%
CS454002,HONOR MTO REP F Y E TRANSP 19% RT11%
CS4540011,COMP MTO REP F Y E TRANSP SIN IVA RT2.5%
CS454001,COMP MTO REP F Y E TRANSP 19% RT2.5%
CS452503,SERV MTO Y REP E DE COM Y COMP 19% RT4%
CS452502,HONOR MTO Y REP E DE COM COMP 19% RT11%
CS452501,COMP MTO REP E DE COM Y COMP 19% RT2.5%
CS452003,SERV MTO Y REP E DE OFIC 19% RT4%
CS452002,HONOR MTO REP E DE OFICINA 19% RT11%
CS452001,COMP MTO REP E DE OFICINA19% RT2.5%
CS4515031,SERV MTO REP MAQ Y EQUIPO SIN IVA RT4%
CS451503,SERV MTO REP MAQ Y EQUIPO 19% RT4%
CS451502,HONOR MTO REP MAQ Y EQUIPO 19% RT11%
CS4515012,COMP MTO REP MAQ Y EQUIPO 5% RT2.5%
CS4515011,COMP MTO REP MAQ Y EQUIPO SIN IVA RT2.5%
CS451501,COMP MTO REP MAQ Y EQUIPO 19% RT2.5%
CS4510031,SERV MTO REP C Y EDIFIC SIN IVA RT4%
CS451003,SERV MTO REP C Y EDIFIC 19% RT4%
CS451002,HONOR MTO REP C Y EDIFIC 19% RT11%
CS451001,COMP MTO REP C Y EDIFIC 19% RT2.5%
CS4015011,SERV GTOS LEG TRAMITE LICENCIA 19% RT4%
CS401501,GTOS LEG TRAMITES/LICENCIAS SIN IVA RT0%
CS401001,GTOS LEG REGIS MERCANT SIN IVA RT0%
CS400501,GTOS LEGALES NOTARIALES 19% RT0%
CS3595241,SERVICIO MARCACION BULTO
CS359524,ARREND OTROS EQUIP LOGISTICOS 19% RT4%
CS359511,SERV DE FUMIGACION 19% RT4%
CS3595041,SERV DESCARG MANO OBRA CONT SIN IVA RT4%
CS359504,SERV DESCARG MANO OBRA CONT 19% RT4%
CS3595032,SERV BODEGAJES SIN IVA RT4%
CS3595031,SERV BODEGAJES 5% RT4%
CS359503,SERV BODEGAJES 19% RT4%
CS3595021,SERV DE ADMON 19% RT4%
CS359502,SERV DE ADMON SIN IVA RT4%
CS3595011,SERV COMUNICACIONES SIN IVA RT3.5%
CS359501,SERV COMUNICACIONES 19% RT4%
CS3560157,SERV ESTRATEG ADICIONAL SIN IVA RT4%
CS3560155,COMP ESTRATEG ADICIONAL SIN IVA RT2.5%
CS3560154,SERV ESTRATEG ADICIONALES 5% RT4%
CS3560153,COMP ESTRATEG ADICIONALES 5% RT2.5%
CS3560152,SERV ESTRATEG ADICIONALES 19% RT4%
CS3560151,HONOR ESTRATEG ADICIONALES 19% RT11%
CS356015,COMP ESTRATEG ADICIONALES 19% RT2.5%
CS3560137,SERV FACHADA DISTRIBUIDORES SIN IVA RT4%
CS3560135,COMP FACHADA DISTRIBUIDOR SIN IVA RT2.5%
